gbifid	x	y	plant	eventdate	day	month	year
1030761486	30.561162	114.381419	sage	1975-01-01T01:00Z			1975
1030761557	32.055645	118.79774	sage	1958-01-01T01:00Z			1958
1030761533	32.055645	118.79774	sage	1958-01-01T01:00Z			1958
1030761503	32.055645	118.79774	sage	1958-01-01T01:00Z			1958
1457610253	32.673354	35.717632	sage	2017-04-01T12:14Z	1	4	2017
41463897	32.68333	21.91667	sage				
122246583	33.3	-87.5	sage	1963-04-27T01:00Z	27	4	1963
1304105040	33.63188	119.034687	sage	1936-01-01T01:00Z			1936
1500263014	34.111337	-117.736831	sage	2017-04-16T15:06Z	16	4	2017
1656071341	34.117333	-117.712517	sage	2015-03-19T01:00Z	19	3	2015
1143036537	34.2686833926	-6.5611605684	sage				
388863326	35.6175	139.662778	sage	1951-06-13T01:00Z	13	6	1951
30889446	36.290001	-6.22	sage	1990-04-22T02:00Z	22	4	1990
232947826	36.442828	-5.263983	sage	2004-05-31T02:00Z	31	5	2004
617424116	36.66	-5.01	sage				
30889149	36.669998	-5.01	sage	1997-08-28T02:00Z	28	8	1997
618118564	36.68	-3.44	sage				
1142792939	36.7087316163	-5.4111771703	sage				
218534801	36.7087316163	-5.4111771703	sage				
218536288	36.708736223	-4.9611690243	sage				
781077762	36.727	-4.405	sage	2010-05-14T02:00Z	14	5	2010
232947373	36.727224	-4.991159	sage	1997-09-25T02:00Z	25	9	1997
781077748	36.728	-4.999	sage	2003-06-15T02:00Z	15	6	2003
781077723	36.737	-4.977	sage	1997-09-25T02:00Z	25	9	1997
618119448	36.77	-3.44	sage				
617796325	36.77	-3.44	sage				
617478829	36.77	-3.89	sage				
617289624	36.77	-3.89	sage				
617137041	36.77	-3.44	sage				
218535801	36.7987330886	-5.4111785971	sage				
218534798	36.8087389906	-4.8511686017	sage				
232947471	36.816679	-3.426942	sage	2006-05-09T02:00Z	9	5	2006
218534504	36.8187505394	-3.7311481886	sage				
218534496	36.8187516506	-3.6211461497	sage				
232947470	36.826297	-3.39571	sage	2006-05-09T02:00Z	9	5	2006
232947464	36.828447	-3.410243	sage	2006-05-09T02:00Z	9	5	2006
1142652762	36.8287496948	-3.8311501959	sage				
232947460	36.832096	-3.832994	sage	2004-05-06T02:00Z	6	5	2004
232948037	36.837586	-3.323107	sage	2006-06-28T02:00Z	28	6	2006
218534703	36.8387499626	-3.8211501675	sage				
232947469	36.842913	-3.405565	sage	2006-05-09T02:00Z	9	5	2006
232947483	36.848607	-3.811413	sage	2004-06-22T02:00Z	22	6	2004
232947375	36.849676	-3.783708	sage	2003-06-12T02:00Z	12	6	2003
232947467	36.85503	-3.407872	sage	2006-05-09T02:00Z	9	5	2006
232948043	36.8566	-3.556381	sage	2006-09-07T02:00Z	7	9	2006
618478445	36.86	-4	sage				
618478405	36.86	-3.78	sage				
618477721	36.86	-4.12	sage				
618477662	36.86	-4	sage				
618476520	36.86	-4.12	sage				
618476516	36.86	-4.12	sage				
618476507	36.86	-4.12	sage				
618345752	36.86	-3.78	sage				
618344538	36.86	-3.78	sage				
618287256	36.86	-4.12	sage				
618287243	36.86	-4.12	sage				
618287232	36.86	-4.12	sage				
618286603	36.86	-4	sage				
618286590	36.86	-4.12	sage				
618286448	36.86	-4.12	sage				
617966889	36.86	-2.77	sage				
617963520	36.86	-2.88	sage				
617670813	36.86	-2.88	sage				
617670805	36.86	-2.77	sage				
617670788	36.86	-2.77	sage				
617670768	36.86	-3	sage				
617478881	36.86	-4.12	sage				
617478779	36.86	-3.89	sage				
617478760	36.86	-4.12	sage				
617478726	36.86	-4.12	sage				
617478705	36.86	-3.89	sage				
617478688	36.86	-3.78	sage				
617349801	36.86	-3.78	sage				
617349768	36.86	-3.78	sage				
617349740	36.86	-3.78	sage				
617343632	36.86	-4	sage				
617343610	36.86	-3.89	sage				
617340708	36.86	-3	sage				
617289702	36.86	-4.12	sage				
617289683	36.86	-4.12	sage				
617289666	36.86	-4	sage				
617289651	36.86	-4.12	sage				
617289636	36.86	-4.12	sage				
616840582	36.86	-3	sage				
616840254	36.86	-2.88	sage				
616840205	36.86	-2.88	sage				
